unique_image_id,showcase_index,source_group,mask_source,reference_rank,reference_path,candidate_pool_size,top5_count,reliable,reason,mask_support_ratio,mask_high_confidence_ratio,mask_confidence_mean,forward_backward_consistency_px,local_reprojection_error_px,mask_outside_photometric_residual_lab_l1,allowed_outside_max_abs,input_path,composite_path,contact_sheet_link
showcase_05_326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845,5,TZSHZHMRHM,manual,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\500_84_TZSHZHMRHM_1_16_21_C_Balcony_114.150199_22.28035_201.6335_27.739153.png,4,4,False,low_mask_confidence_or_consistency,0.978260,0.004699,0.003647,0.000573,0.000129,nan,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845.png,research\outputs\restoration_v2\reference_consistency\per_image\5\manual\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_05_326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845,5,TZSHZHMRHM,sam,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\500_84_TZSHZHMRHM_1_16_21_C_Balcony_114.150199_22.28035_201.6335_27.739153.png,4,4,False,low_mask_confidence_or_consistency,0.978260,0.004699,0.003647,0.000573,0.000129,nan,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845.png,research\outputs\restoration_v2\reference_consistency\per_image\5\sam\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_06_11_16_SKKYGPBEPE_1_1_15_A_Kitchen_114.151878_22.278839_167.6916_172.417722,6,SKKYGPBEPE,manual,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\0_16_SKKYGPBEPE_1_1_4_A_Kitchen_114.151878_22.278839_138.42_172.417722.png,1,1,False,low_mask_confidence_or_consistency,0.928110,0.005985,0.004265,1.152192,0.000086,nan,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\11_16_SKKYGPBEPE_1_1_15_A_Kitchen_114.151878_22.278839_167.6916_172.417722.png,research\outputs\restoration_v2\reference_consistency\per_image\6\manual\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_06_11_16_SKKYGPBEPE_1_1_15_A_Kitchen_114.151878_22.278839_167.6916_172.417722,6,SKKYGPBEPE,sam,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\0_16_SKKYGPBEPE_1_1_4_A_Kitchen_114.151878_22.278839_138.42_172.417722.png,1,1,False,low_mask_confidence_or_consistency,0.928110,0.005985,0.004265,1.152192,0.000086,nan,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\11_16_SKKYGPBEPE_1_1_15_A_Kitchen_114.151878_22.278839_167.6916_172.417722.png,research\outputs\restoration_v2\reference_consistency\per_image\6\sam\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_07_10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177,7,TZDZZHIAHT,manual,0,,0,0,False,no_same_group_candidate,0.000000,0.000000,0.000000,nan,nan,nan,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177.png,research\outputs\restoration_v2\reference_consistency\per_image\7\manual\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_07_10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177,7,TZDZZHIAHT,sam,0,,0,0,False,no_same_group_candidate,0.000000,0.000000,0.000000,nan,nan,nan,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177.png,research\outputs\restoration_v2\reference_consistency\per_image\7\sam\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_08_152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121,8,SKADBPYRPE,manual,3,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\134_10_SKADBPYRPE_3_25_10_A_Bed_2_114.149297_22.282768_101.86_30.57121.png,10,5,False,low_mask_confidence_or_consistency,0.409064,0.007221,0.005038,0.043480,0.001537,16.487106,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121.png,research\outputs\restoration_v2\reference_consistency\per_image\8\manual\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_08_152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121,8,SKADBPYRPE,sam,2,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\101_10_SKADBPYRPE_3_23_15_A_Bed_1_114.149293_22.282738_116.5839_124.207392.png,10,5,False,low_mask_confidence_or_consistency,0.697636,0.005767,0.004043,0.000089,0.000086,15.392815,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121.png,research\outputs\restoration_v2\reference_consistency\per_image\8\sam\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_09_11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074,9,TTSDZHIVHT,manual,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\10_62_TTSDZHIVHT_1_3_15_A_Living_114.13213_22.282362_106.55_60.14074.png,2,2,False,low_mask_confidence_or_consistency,1.000000,0.001157,0.002130,0.087176,nan,8.671452,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074.png,research\outputs\restoration_v2\reference_consistency\per_image\9\manual\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_09_11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074,9,TTSDZHIVHT,sam,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\10_62_TTSDZHIVHT_1_3_15_A_Living_114.13213_22.282362_106.55_60.14074.png,2,2,False,low_mask_confidence_or_consistency,1.000000,0.001224,0.002201,0.087176,nan,8.673459,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074.png,research\outputs\restoration_v2\reference_consistency\per_image\9\sam\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_10_332_11_SKBKBPEAPE_1_10_9_B_Living_114.148944_22.280819_177.7997_124.083485,10,SKBKBPEAPE,manual,2,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\379_11_SKBKBPEAPE_1_11_20_C_Living_114.14895_22.280799_209.9949_29.870402.png,7,5,False,low_mask_confidence_or_consistency,0.986240,0.005379,0.003858,0.000031,0.000257,13.983611,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\332_11_SKBKBPEAPE_1_10_9_B_Living_114.148944_22.280819_177.7997_124.083485.png,research\outputs\restoration_v2\reference_consistency\per_image\10\manual\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_10_332_11_SKBKBPEAPE_1_10_9_B_Living_114.148944_22.280819_177.7997_124.083485,10,SKBKBPEAPE,sam,2,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\379_11_SKBKBPEAPE_1_11_20_C_Living_114.14895_22.280799_209.9949_29.870402.png,7,5,False,low_mask_confidence_or_consistency,0.988837,0.005218,0.003804,0.000031,0.000257,14.400661,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\332_11_SKBKBPEAPE_1_10_9_B_Living_114.148944_22.280819_177.7997_124.083485.png,research\outputs\restoration_v2\reference_consistency\per_image\10\sam\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_11_291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722,11,SKSWBPWJPS,manual,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\682_41_SKSWBPWJPS_1_26_11_C_Bed_3_114.14224_22.28426_98.8981_26.096132.png,6,5,False,low_mask_confidence_or_consistency,0.953371,0.121841,0.074296,0.384369,0.874743,0.584939,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722.png,research\outputs\restoration_v2\reference_consistency\per_image\11\manual\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_11_291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722,11,SKSWBPWJPS,sam,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\682_41_SKSWBPWJPS_1_26_11_C_Bed_3_114.14224_22.28426_98.8981_26.096132.png,6,5,False,low_mask_confidence_or_consistency,0.939215,0.118675,0.072419,0.384369,0.874743,0.447815,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722.png,research\outputs\restoration_v2\reference_consistency\per_image\11\sam\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_12_126_27_SKPPWEPXPE_2_32_17_B_Living_114.146829_22.283221_127.9217_4.44512,12,SKPPWEPXPE,manual,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\125_27_SKPPWEPXPE_2_32_16_B_Living_114.146829_22.283221_125.5633_4.44512.png,4,4,False,low_mask_confidence_or_consistency,0.973971,0.035941,0.027166,0.425352,1.031954,8.592787,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\126_27_SKPPWEPXPE_2_32_17_B_Living_114.146829_22.283221_127.9217_4.44512.png,research\outputs\restoration_v2\reference_consistency\per_image\12\manual\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_12_126_27_SKPPWEPXPE_2_32_17_B_Living_114.146829_22.283221_127.9217_4.44512,12,SKPPWEPXPE,sam,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\125_27_SKPPWEPXPE_2_32_16_B_Living_114.146829_22.283221_125.5633_4.44512.png,4,4,False,low_mask_confidence_or_consistency,0.973232,0.008263,0.005522,0.425352,2.624905,8.517649,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\126_27_SKPPWEPXPE_2_32_17_B_Living_114.146829_22.283221_127.9217_4.44512.png,research\outputs\restoration_v2\reference_consistency\per_image\12\sam\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_13_1332_56_SSPPWYPXPS_1_26_18_G_Living_114.133475_22.285613_89.834_14.049906,13,SSPPWYPXPS,manual,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\1328_56_SSPPWYPXPS_1_26_14_G_Living_114.133475_22.285613_78.3517_14.049906.png,5,5,True,ok,0.918581,0.207650,0.147198,0.184047,1.437105,9.406716,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\1332_56_SSPPWYPXPS_1_26_18_G_Living_114.133475_22.285613_89.834_14.049906.png,research\outputs\restoration_v2\reference_consistency\per_image\13\manual\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_13_1332_56_SSPPWYPXPS_1_26_18_G_Living_114.133475_22.285613_89.834_14.049906,13,SSPPWYPXPS,sam,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\1328_56_SSPPWYPXPS_1_26_14_G_Living_114.133475_22.285613_78.3517_14.049906.png,5,5,False,low_mask_confidence_or_consistency,0.926302,0.195360,0.137948,0.184047,1.438501,13.711271,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\1332_56_SSPPWYPXPS_1_26_18_G_Living_114.133475_22.285613_89.834_14.049906.png,research\outputs\restoration_v2\reference_consistency\per_image\13\sam\composite.png,open3dhk_reference_consistency_contact_sheet.png
