unique_image_id,showcase_index,source_group,mask_source,reference_rank,reference_path,candidate_pool_size,top5_count,reliable,reason,mask_support_ratio,mask_high_confidence_ratio,mask_confidence_mean,forward_backward_consistency_px,local_reprojection_error_px,mask_outside_photometric_residual_lab_l1,allowed_outside_max_abs,input_path,composite_path,contact_sheet_link
showcase_19_112_49_SSPPWDPXPS_1_3_17_A_Bed_1_114.13391_22.285112_86.4546_56.279381,19,SSPPWDPXPS,manual,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\0_49_SSPPWDPXPS_1_1_11_A_MBed_114.133921_22.285144_68.64_56.982605.png,1,1,False,low_mask_confidence_or_consistency,0.000000,0.000000,0.000000,1.146992,nan,7.801205,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\112_49_SSPPWDPXPS_1_3_17_A_Bed_1_114.13391_22.285112_86.4546_56.279381.png,research\outputs\restoration_v2\reference_consistency\per_image\19\manual\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_19_112_49_SSPPWDPXPS_1_3_17_A_Bed_1_114.13391_22.285112_86.4546_56.279381,19,SSPPWDPXPS,sam,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\0_49_SSPPWDPXPS_1_1_11_A_MBed_114.133921_22.285144_68.64_56.982605.png,1,1,False,low_mask_confidence_or_consistency,0.000000,0.000000,0.000000,1.146992,nan,7.801205,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\112_49_SSPPWDPXPS_1_3_17_A_Bed_1_114.13391_22.285112_86.4546_56.279381.png,research\outputs\restoration_v2\reference_consistency\per_image\19\sam\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_20_11_46_SSPPWBPXPS_1_1_22_A_Bed_1_114.133187_22.284774_101.8261_106.039006,20,SSPPWBPXPS,manual,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\112_46_SSPPWBPXPS_1_3_19_A_Living_114.133194_22.284701_90.5225_106.038308.png,3,3,False,low_mask_confidence_or_consistency,0.000000,0.000000,0.000000,0.185355,nan,6.729376,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\11_46_SSPPWBPXPS_1_1_22_A_Bed_1_114.133187_22.284774_101.8261_106.039006.png,research\outputs\restoration_v2\reference_consistency\per_image\20\manual\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_20_11_46_SSPPWBPXPS_1_1_22_A_Bed_1_114.133187_22.284774_101.8261_106.039006,20,SSPPWBPXPS,sam,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\112_46_SSPPWBPXPS_1_3_19_A_Living_114.133194_22.284701_90.5225_106.038308.png,3,3,False,low_mask_confidence_or_consistency,0.000000,0.000000,0.000000,0.185355,nan,6.729376,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\11_46_SSPPWBPXPS_1_1_22_A_Bed_1_114.133187_22.284774_101.8261_106.039006.png,research\outputs\restoration_v2\reference_consistency\per_image\20\sam\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_21_134_15_SKEYPPEAPE_1_5_32_A_MBed_114.148373_22.280541_240.3548_26.831315,21,SKEYPPEAPE,manual,3,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\157_15_SKEYPPEAPE_1_6_27_A_Bed_2_114.148387_22.280512_225.6193_26.803866.png,14,5,False,low_mask_confidence_or_consistency,0.916047,0.000000,0.000000,0.085112,nan,3.385870,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\134_15_SKEYPPEAPE_1_5_32_A_MBed_114.148373_22.280541_240.3548_26.831315.png,research\outputs\restoration_v2\reference_consistency\per_image\21\manual\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_21_134_15_SKEYPPEAPE_1_5_32_A_MBed_114.148373_22.280541_240.3548_26.831315,21,SKEYPPEAPE,sam,3,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\157_15_SKEYPPEAPE_1_6_27_A_Bed_2_114.148387_22.280512_225.6193_26.803866.png,14,5,False,low_mask_confidence_or_consistency,0.914880,0.000000,0.000000,0.085112,nan,3.385870,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\134_15_SKEYPPEAPE_1_5_32_A_MBed_114.148373_22.280541_240.3548_26.831315.png,research\outputs\restoration_v2\reference_consistency\per_image\21\sam\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_22_40_44_SSPPWBPEPK_1_2_17_A_MBed_114.152675_22.280637_116.9946_30.090764,22,SSPPWBPEPK,manual,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\69_44_SSPPWBPEPK_1_5_18_A_Living_114.152629_22.280669_119.99_30.091299.png,10,5,False,low_mask_confidence_or_consistency,0.000000,0.000000,0.000000,0.798131,nan,10.575148,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\40_44_SSPPWBPEPK_1_2_17_A_MBed_114.152675_22.280637_116.9946_30.090764.png,research\outputs\restoration_v2\reference_consistency\per_image\22\manual\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_22_40_44_SSPPWBPEPK_1_2_17_A_MBed_114.152675_22.280637_116.9946_30.090764,22,SSPPWBPEPK,sam,2,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\108_44_SSPPWBPEPK_1_8_15_C_Living_114.152563_22.280719_111.0554_29.822021.png,10,5,False,low_mask_confidence_or_consistency,1.000000,0.000000,0.000000,0.069424,nan,4.180256,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\40_44_SSPPWBPEPK_1_2_17_A_MBed_114.152675_22.280637_116.9946_30.090764.png,research\outputs\restoration_v2\reference_consistency\per_image\22\sam\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_23_203_13_SKEBGPEXPE_1_8_1_B_Living_114.148057_22.281298_157.79_9.094576,23,SKEBGPEXPE,manual,0,,0,0,False,no_same_group_candidate,0.000000,0.000000,0.000000,nan,nan,nan,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\203_13_SKEBGPEXPE_1_8_1_B_Living_114.148057_22.281298_157.79_9.094576.png,research\outputs\restoration_v2\reference_consistency\per_image\23\manual\composite.png,open3dhk_reference_consistency_contact_sheet.png
showcase_23_203_13_SKEBGPEXPE_1_8_1_B_Living_114.148057_22.281298_157.79_9.094576,23,SKEBGPEXPE,sam,0,,0,0,False,no_same_group_candidate,0.000000,0.000000,0.000000,nan,nan,nan,0,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\203_13_SKEBGPEXPE_1_8_1_B_Living_114.148057_22.281298_157.79_9.094576.png,research\outputs\restoration_v2\reference_consistency\per_image\23\sam\composite.png,open3dhk_reference_consistency_contact_sheet.png
