sample_id,split,method,seed,mask_ratio,masked_psnr,masked_ssim,masked_lpips,masked_l1,mask_outside_max_abs,mask_outside_mean_abs,original_mask_outside_max_abs,original_mask_outside_mean_abs,boundary_color_l1,boundary_edge_l1,inner_color_l1,color_mean_delta,color_std_delta,sharpness_gain,input_sharpness,output_sharpness,selected_from,guard_score
proxy_034_666_87_TZSNTHIAHM_1_24_25_D_LivingDining_114.153352_22.279546_181.8143_27.165863,train,Ours_guard_selected,20260854,0.016754150390625,19.25426013792563,0.07694388169887736,nan,23.561931610107422,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B0_identity,0.03583603604279686
proxy_035_1501_93_TZTNIHIYHM_1_39_8_F_Bed_2_114.149404_22.281903_157.1767_32.133977,val,Ours_guard_selected,20260855,0.040496826171875,17.458993559188595,0.08444932783074677,nan,7.5894246101379395,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7081841230392456,1.7081841230392456,B0_identity,0.03583603604279686
proxy_036_571_30_SKPPWKPEPE_2_38_13_B_Living_114.14977_22.282159_142.1486_22.404233,val,Ours_guard_selected,20260856,0.0565948486328125,99.0,1.0,nan,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08301882445812225,0.08301882445812225,B0_identity,0.03583603604279686
proxy_037_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626,train,Ours_guard_selected,20260857,0.077484130859375,20.9055504119582,0.5506888869980215,nan,14.396678924560547,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24195671081543,4.24195671081543,B0_identity,0.03583603604279686
proxy_038_121_85_TZSITHMXHM_1_11_2_2_Bed_1_114.152023_22.27867_159.01_37.628964,train,Ours_guard_selected,20260858,0.0487518310546875,31.73592822862645,0.8333036194631124,nan,4.343140125274658,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5833499431610107,1.5833499431610107,B0_identity,0.03583603604279686
proxy_039_481_48_SSPPWDPXPE_1_14_1_C_Living_114.143066_22.284719_71.05_2.908905,train,Ours_guard_selected,20260859,0.085357666015625,12.247974356260212,0.0847937999232232,nan,47.91395568847656,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.210168838500977,22.210168838500977,B0_identity,0.03583603604279686
proxy_040_100_35_SKPPWSPEPE_2_26_12_A_MBed_114.147035_22.281469_202.9475_70.278275,train,Ours_guard_selected,20260860,0.0473785400390625,13.18181585582997,0.03082551264428591,nan,45.48105239868164,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B0_identity,0.03583603604279686
proxy_041_834_81_TZMNIHIXHM_1_21_40_C_Bath_2_114.149327_22.281565_243.55_31.922153,train,Ours_guard_selected,20260861,0.06500244140625,24.935779546278557,0.3242845476153834,nan,6.955008029937744,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0654940605163574,1.0654940605163574,B0_identity,0.03583603604279686
proxy_042_124_62_TTSDZHIVHT_1_8_19_B_MBed_114.132182_22.282427_117.61_60.421978,train,Ours_guard_selected,20260862,0.036346435546875,29.80747532801449,0.8634770010940301,nan,5.922614097595215,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.517835855484009,2.517835855484009,B0_identity,0.03583603604279686
proxy_043_110_29_SKPPWGPEPE_2_236_33_A_Kitchen_114.150148_22.282357_193.9733_101.323709,val,Ours_guard_selected,20260863,0.053863525390625,25.70939371771631,0.9691671328790723,nan,3.8744099140167236,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4866576194763184,2.4866576194763184,B0_identity,0.03583603604279686
proxy_044_334_58_TTISTHHXHM_1_13_24_D_Bath_114.140912_22.284518_125.0404_92.428764,train,Ours_guard_selected,20260864,0.0250244140625,59.95842961179463,0.9996936803851885,nan,0.06565040349960327,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24982750415802002,0.24982750415802002,B0_identity,0.03583603604279686
proxy_045_292_32_SKPPWKPXPS_1_8_10_A_MBed_114.145466_22.284032_124.23_8.086824,train,Ours_guard_selected,20260865,0.057159423828125,22.266784060130572,0.18892428604264197,nan,15.74559497833252,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.901737689971924,4.901737689971924,B0_identity,0.03583603604279686
proxy_046_112_21_SKPPWAPXPS_2_30_11_B_Store_114.140131_22.280469_200.4914_131.817685,train,Ours_guard_selected,20260866,0.085357666015625,16.003019334315262,0.0421465026826764,nan,33.037899017333984,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B0_identity,0.03583603604279686
proxy_047_126_27_SKPPWEPXPE_2_32_17_B_Living_114.146829_22.283221_127.9217_4.44512,val,Ours_guard_selected,20260867,0.0428466796875,12.000071157559615,0.3924439989538966,nan,51.40895080566406,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.17906951904297,21.17906951904297,B0_identity,0.03583603604279686
proxy_048_112_49_SSPPWDPXPS_1_3_17_A_Bed_1_114.13391_22.285112_86.4546_56.279381,train,Ours_guard_selected,20260868,0.05938720703125,82.78314451217179,0.9999986230357345,nan,0.0003425830800551921,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2036948949098587,0.2036948949098587,B0_identity,0.03583603604279686
proxy_049_11_5_OSRRQRUXUU_1_2_1_A_Bed_1_114.150575_22.279639_166.89_43.994572,val,Ours_guard_selected,20260869,0.04876708984375,30.30297513894109,0.9641938702622171,nan,5.707968235015869,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.890800952911377,4.890800952911377,B0_identity,0.03583603604279686
