sample_id,showcase_index,severity,category,mask_source,method,manual_sam_iou,manual_sam_dice,sam_ratio,selected_from,guard_score,seed_output_variance,mask_ratio,mask_outside_max_abs,mask_outside_mean_abs,original_mask_outside_max_abs,original_mask_outside_mean_abs,boundary_color_l1,boundary_edge_l1,inner_color_l1,color_mean_delta,color_std_delta,sharpness_gain,input_sharpness,output_sharpness
showcase_03_100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879,3,large,Null,SAM_LoRA_cpu,B1_deterministic,0.9998716049382717,0.9999357983475482,0.9998716049382717,B1_deterministic,0.03249565487317751,0.0,0.9998716049382717,0,0.0,6,0.3301282051282051,0.5364583730697632,0.74125075340271,3.488095283508301,0.014249165542423725,0.7344538569450378,0.6267987489700317,1.8889156579971313,2.515714406967163
showcase_03_100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879,3,large,Null,SAM_LoRA_cpu,G_lite_stochastic_proxy,0.9998716049382717,0.9999357983475482,0.9998716049382717,B1_deterministic,0.0331091244634602,1.31559157371521,0.9998716049382717,0,0.0,4,0.3108974358974359,0.5052083730697632,0.5623924732208252,3.0,0.5275115966796875,0.43089041113853455,1.1558538675308228,1.8889156579971313,3.044769525527954
showcase_03_100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879,3,large,Null,SAM_LoRA_cpu,Ours_guard_selected,0.9998716049382717,0.9999357983475482,0.9998716049382717,B1_deterministic,0.03249565487317751,0.0,0.9998716049382717,0,0.0,6,0.3301282051282051,0.5364583730697632,0.74125075340271,3.488095283508301,0.014249165542423725,0.7344538569450378,0.6267987489700317,1.8889156579971313,2.515714406967163
showcase_04_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626,4,large,Bed,SAM_LoRA_cpu,B0_identity,0.9923294631576227,0.9961499656637008,0.9066567901234568,B0_identity,0.03583603604279686,0.0,0.9066567901234568,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1597633361816406,3.1597633361816406
showcase_04_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626,4,large,Bed,SAM_LoRA_cpu,B1_deterministic,0.9923294631576227,0.9961499656637008,0.9066567901234568,B0_identity,0.0443944008027361,0.0,0.9066567901234568,0,0.0,45,0.3666499135893909,4.001395225524902,3.1413445472717285,6.8447699546813965,0.013895670883357525,2.4690749645233154,1.957667350769043,3.1597633361816406,5.117430686950684
showcase_04_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626,4,large,Bed,SAM_LoRA_cpu,G_lite_stochastic_proxy,0.9923294631576227,0.9961499656637008,0.9066567901234568,B0_identity,0.03966899922825143,1.3127422332763672,0.9066567901234568,0,0.0,29,0.2042861425598702,2.2294552326202393,1.7556251287460327,4.29946756362915,0.3018442690372467,1.3287500143051147,1.8096380233764648,3.1597633361816406,4.9694013595581055
showcase_04_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626,4,large,Bed,SAM_LoRA_cpu,Ours_guard_selected,0.9923294631576227,0.9961499656637008,0.9066567901234568,B0_identity,0.03583603604279686,0.0,0.9066567901234568,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1597633361816406,3.1597633361816406
showcase_05_326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845,5,large,Kitchen,SAM_LoRA_cpu,B0_identity,1.0,1.0,1.0,B0_identity,0.03583603604279686,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47866466641426086,0.47866466641426086
showcase_05_326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845,5,large,Kitchen,SAM_LoRA_cpu,B1_deterministic,1.0,1.0,1.0,B0_identity,0.03904003466212258,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0075174965895712376,0.2390562742948532,0.08119514584541321,0.47866466641426086,0.5598598122596741
showcase_05_326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845,5,large,Kitchen,SAM_LoRA_cpu,G_lite_stochastic_proxy,1.0,1.0,1.0,B0_identity,0.04724360280096723,1.3156068325042725,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.4494577944278717,0.1925067901611328,1.3076224029064178,0.47866466641426086,1.7862870693206787
showcase_05_326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845,5,large,Kitchen,SAM_LoRA_cpu,Ours_guard_selected,1.0,1.0,1.0,B0_identity,0.03583603604279686,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47866466641426086,0.47866466641426086
