sample_id,split,method,mask_delta_px,jpeg_quality,scale,seed,selected_from,guard_score,mask_ratio,masked_psnr,masked_ssim,masked_lpips,masked_l1,mask_outside_max_abs,mask_outside_mean_abs,original_mask_outside_max_abs,original_mask_outside_mean_abs,boundary_color_l1,boundary_edge_l1,inner_color_l1,color_mean_delta,color_std_delta,sharpness_gain
proxy_000_111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392,val,Ours_guard_selected,-7,60,0.75,0,B0_identity,0.03583603604279686,0.0118408203125,47.09211997472636,0.9881171078071831,nan,0.713487982749939,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_000_111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392,val,Ours_guard_selected,-7,60,0.75,1,B0_identity,0.03583603604279686,0.0118408203125,47.09211997472636,0.9881171078071831,nan,0.713487982749939,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_000_111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392,val,Ours_guard_selected,-7,60,0.75,2,B0_identity,0.03583603604279686,0.0118408203125,47.09211997472636,0.9881171078071831,nan,0.713487982749939,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_000_111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392,val,Ours_guard_selected,-7,60,1.25,0,B0_identity,0.03583603604279686,0.0118408203125,47.09652828483995,0.9881262128191116,nan,0.7139175534248352,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_000_111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392,val,Ours_guard_selected,-7,60,1.25,1,B0_identity,0.03583603604279686,0.0118408203125,47.09652828483995,0.9881262128191116,nan,0.7139175534248352,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_000_111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392,val,Ours_guard_selected,-7,60,1.25,2,B0_identity,0.03583603604279686,0.0118408203125,47.09652828483995,0.9881262128191116,nan,0.7139175534248352,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_000_111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392,val,Ours_guard_selected,-7,80,0.75,0,B0_identity,0.03583603604279686,0.0118408203125,49.6760936069608,0.9934096936964811,nan,0.4875429570674896,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_000_111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392,val,Ours_guard_selected,-7,80,0.75,1,B0_identity,0.03583603604279686,0.0118408203125,49.6760936069608,0.9934096936964811,nan,0.4875429570674896,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_000_111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392,val,Ours_guard_selected,-7,80,0.75,2,B0_identity,0.03583603604279686,0.0118408203125,49.6760936069608,0.9934096936964811,nan,0.4875429570674896,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_000_111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392,val,Ours_guard_selected,-7,80,1.25,0,B0_identity,0.03583603604279686,0.0118408203125,50.11271322989909,0.9940686548671247,nan,0.4737972617149353,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_000_111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392,val,Ours_guard_selected,-7,80,1.25,1,B0_identity,0.03583603604279686,0.0118408203125,50.11271322989909,0.9940686548671247,nan,0.4737972617149353,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_000_111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392,val,Ours_guard_selected,-7,80,1.25,2,B0_identity,0.03583603604279686,0.0118408203125,50.11271322989909,0.9940686548671247,nan,0.4737972617149353,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
