sample_id,degradation_type,method,seed,outside_max_abs,changed_fraction_mask,mean_abs_delta_mask,low_frequency_lab_l1,mask_median_lab_shift,boundary_lab_l1,boundary_gradient_discontinuity,input_edge_retention,pairwise_seed_mad,seed_edge_iou,uncertain_mask_ratio,runtime_sec,selected,rejection_reason
showcase_09_11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074,uv_stretch,identity,,0,0.0,0.0,0.0,0.0,0.0,1.6170518790659116e-07,1.0,28.983030319213867,0.1031374786081004,0.0,0.0,0,baseline
showcase_09_11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074,uv_stretch,current_FLUX2,,0,0.999908929926638,70.32173370435956,28.782594680786133,31.66666603088379,18.692516326904297,111.9649887084961,0.0683414071961558,28.983030319213867,0.1031374786081004,0.0,0.0,0,fixed_baseline
showcase_09_11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074,uv_stretch,Lab_anchor,,0,0.9663006998903786,21.143709700087136,7.3368024826049805,0.0,8.684743881225586,57.4589958190918,0.0741420539276987,28.983030319213867,0.1031374786081004,0.0,0.5847150770005101,0,postprocess_only
showcase_09_11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074,uv_stretch,frequency_fusion,,0,0.7716603423560165,7.699035893976445,1.0086406469345093,0.6666666865348816,3.8637566566467285,30.919084548950195,0.08503294438858973,28.983030319213867,0.1031374786081004,0.0,0.5847150770005101,0,postprocess_only
showcase_10_332_11_SKBKBPEAPE_1_10_9_B_Living_114.148944_22.280819_177.7997_124.083485,repeat_seam,identity,,0,0.0,0.0,0.0,0.0,0.0,4.4739540072669115e-08,1.0,42.99504852294922,0.12053984100573119,0.0,0.0,0,baseline
showcase_10_332_11_SKBKBPEAPE_1_10_9_B_Living_114.148944_22.280819_177.7997_124.083485,repeat_seam,current_FLUX2,,0,0.9998000183656603,54.12592653055672,19.983360290527344,20.66666603088379,15.211861610412598,79.20153045654297,0.32854309837619355,42.99504852294922,0.12053984100573119,0.0,0.0,0,fixed_baseline
showcase_10_332_11_SKBKBPEAPE_1_10_9_B_Living_114.148944_22.280819_177.7997_124.083485,repeat_seam,Lab_anchor,,0,0.9148078237712863,10.638010794926997,3.32621431350708,0.3333333432674408,5.703629493713379,36.567222595214844,0.333107694623137,42.99504852294922,0.12053984100573119,0.0,0.4427048699999432,0,postprocess_only
showcase_10_332_11_SKBKBPEAPE_1_10_9_B_Living_114.148944_22.280819_177.7997_124.083485,repeat_seam,frequency_fusion,,0,0.6599802058994582,5.839419509092703,0.7488813996315002,1.0,3.1722710132598877,23.42620277404785,0.37533613023825746,42.99504852294922,0.12053984100573119,0.0,0.4427048699999432,0,postprocess_only
showcase_11_291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722,repeat_seam,identity,,0,0.0,0.0,0.0,0.0,0.0,1.6671897640208044e-07,1.0,31.16160774230957,0.1799250936329588,0.0,0.0,0,baseline
showcase_11_291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722,repeat_seam,current_FLUX2,,0,0.9986861986517451,67.66283111391536,23.47410774230957,26.66666603088379,13.733333587646484,72.33467102050781,0.46720119531347293,31.16160774230957,0.1799250936329588,0.0,0.0,0,fixed_baseline
showcase_11_291_41_SKSWBPWJPS_1_11_12_D_LivingDining_114.142098_22.284331_102.0552_26.061722,repeat_seam,Lab_anchor,,0,0.9514682197057749,27.208789946756106,9.2533597946167,0.0,8.793795585632324,45.15089797973633,0.4676923078072374,31.16160774230957,0.1799250936329588,0.0,0.4684504510005354,0,postprocess_only
