allowed_outside_max_abs,allowed_outside_mean_abs,boundary_color_lab_l1,boundary_edge_l1,category,degradation,final_route,manual_sam_iou,mask_ratio,mask_source,masked_lpips,masked_lpips_median,masked_psnr,masked_psnr_median,masked_ssim,masked_ssim_median,method,n,reference_coverage,reference_inlier_ratio,reference_reliable,row_type,runtime_sec,sam_mask_ratio,sample_id,severity,showcase_index,split,win_rate_vs_identity
0,0.0,0.0,0.0,Null,,,0.99987160,0.9998716049382717,sam,nan,,nan,,nan,,Identity_abstain,,0.797521,0.952206,True,sample,,0.99987160,showcase_03_100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879,large,3,,
0,0.0,6.514124393463135,61.84140396118164,Null,,,0.99987160,0.9998716049382717,sam,nan,,nan,,nan,,reference,,0.797521,0.952206,True,sample,,0.99987160,showcase_03_100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879,large,3,,
0,0.0,6.514124393463135,61.84140396118164,Null,,reference,0.99987160,0.9998716049382717,sam,nan,,nan,,nan,,final,,0.797521,0.952206,True,sample,,0.99987160,showcase_03_100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879,large,3,,
0,0.0,0.0,0.0,Bed,,,0.99232946,0.9018888888888889,manual,nan,,nan,,nan,,Identity_abstain,,0.000398,0.500000,False,sample,,0.90665679,showcase_04_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626,large,4,,
0,0.0,0.07393234223127365,1.2321159839630127,Bed,,,0.99232946,0.9018888888888889,manual,nan,,nan,,nan,,R1_NAFNet,,0.000398,0.500000,False,sample,,0.90665679,showcase_04_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626,large,4,,
0,0.0,1.2094494104385376,19.775522232055664,Bed,,,0.99232946,0.9018888888888889,manual,nan,,nan,,nan,,R2_LaMa,,0.000398,0.500000,False,sample,,0.90665679,showcase_04_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626,large,4,,
0,0.0,1.2094494104385376,19.775522232055664,Bed,,R2_LaMa,0.99232946,0.9018888888888889,manual,nan,,nan,,nan,,final,,0.000398,0.500000,False,sample,,0.90665679,showcase_04_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626,large,4,,
0,0.0,0.0,0.0,Bed,,,0.99232946,0.9066567901234568,sam,nan,,nan,,nan,,Identity_abstain,,0.000398,0.500000,False,sample,,0.90665679,showcase_04_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626,large,4,,
0,0.0,0.07846427708864212,1.1888178586959839,Bed,,,0.99232946,0.9066567901234568,sam,nan,,nan,,nan,,R1_NAFNet,,0.000398,0.500000,False,sample,,0.90665679,showcase_04_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626,large,4,,
0,0.0,0.8672260642051697,15.32290267944336,Bed,,,0.99232946,0.9066567901234568,sam,nan,,nan,,nan,,R2_LaMa,,0.000398,0.500000,False,sample,,0.90665679,showcase_04_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626,large,4,,
0,0.0,0.8672260642051697,15.32290267944336,Bed,,R2_LaMa,0.99232946,0.9066567901234568,sam,nan,,nan,,nan,,final,,0.000398,0.500000,False,sample,,0.90665679,showcase_04_334_4_OSRRQRUXOU_1_110_1_D_Bed_2_114.150701_22.279246_166.77_131.407626,large,4,,
0,0.0,0.0,0.0,Kitchen,,,1.00000000,1.0,manual,nan,,nan,,nan,,Identity_abstain,,0.000070,0.384615,False,sample,,1.00000000,showcase_05_326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845,large,5,,
0,0.0,0.0,0.0,Kitchen,,abstain,1.00000000,1.0,manual,nan,,nan,,nan,,final,,0.000070,0.384615,False,sample,,1.00000000,showcase_05_326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845,large,5,,
0,0.0,0.0,0.0,Kitchen,,,1.00000000,1.0,sam,nan,,nan,,nan,,Identity_abstain,,0.000070,0.384615,False,sample,,1.00000000,showcase_05_326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845,large,5,,
0,0.0,0.0,0.0,Kitchen,,abstain,1.00000000,1.0,sam,nan,,nan,,nan,,final,,0.000070,0.384615,False,sample,,1.00000000,showcase_05_326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845,large,5,,
0,0.0,0.0,0.0,Kitchen,,,1.00000000,1.0,manual,nan,,nan,,nan,,Identity_abstain,,0.000397,0.800000,False,sample,,1.00000000,showcase_06_11_16_SKKYGPBEPE_1_1_15_A_Kitchen_114.151878_22.278839_167.6916_172.417722,large,6,,
0,0.0,0.0,0.0,Kitchen,,abstain,1.00000000,1.0,manual,nan,,nan,,nan,,final,,0.000397,0.800000,False,sample,,1.00000000,showcase_06_11_16_SKKYGPBEPE_1_1_15_A_Kitchen_114.151878_22.278839_167.6916_172.417722,large,6,,
0,0.0,0.0,0.0,Kitchen,,,1.00000000,1.0,sam,nan,,nan,,nan,,Identity_abstain,,0.000397,0.800000,False,sample,,1.00000000,showcase_06_11_16_SKKYGPBEPE_1_1_15_A_Kitchen_114.151878_22.278839_167.6916_172.417722,large,6,,
0,0.0,0.0,0.0,Kitchen,,abstain,1.00000000,1.0,sam,nan,,nan,,nan,,final,,0.000397,0.800000,False,sample,,1.00000000,showcase_06_11_16_SKKYGPBEPE_1_1_15_A_Kitchen_114.151878_22.278839_167.6916_172.417722,large,6,,
0,0.0,0.0,0.0,Bed,,,0.98408090,0.6743456790123457,manual,nan,,nan,,nan,,Identity_abstain,,0.000000,0.000000,False,sample,,0.68140864,showcase_07_10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177,large,7,,
0,0.0,0.04222821071743965,0.7725253105163574,Bed,,,0.98408090,0.6743456790123457,manual,nan,,nan,,nan,,R1_NAFNet,,0.000000,0.000000,False,sample,,0.68140864,showcase_07_10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177,large,7,,
0,0.0,1.003593921661377,20.956117630004883,Bed,,,0.98408090,0.6743456790123457,manual,nan,,nan,,nan,,R2_LaMa,,0.000000,0.000000,False,sample,,0.68140864,showcase_07_10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177,large,7,,
0,0.0,1.003593921661377,20.956117630004883,Bed,,R2_LaMa,0.98408090,0.6743456790123457,manual,nan,,nan,,nan,,final,,0.000000,0.000000,False,sample,,0.68140864,showcase_07_10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177,large,7,,
0,0.0,0.0,0.0,Bed,,,0.98408090,0.6814086419753086,sam,nan,,nan,,nan,,Identity_abstain,,0.000000,0.000000,False,sample,,0.68140864,showcase_07_10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177,large,7,,
0,0.0,0.01602899096906185,0.44502368569374084,Bed,,,0.98408090,0.6814086419753086,sam,nan,,nan,,nan,,R1_NAFNet,,0.000000,0.000000,False,sample,,0.68140864,showcase_07_10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177,large,7,,
0,0.0,0.5765558481216431,13.396441459655762,Bed,,,0.98408090,0.6814086419753086,sam,nan,,nan,,nan,,R2_LaMa,,0.000000,0.000000,False,sample,,0.68140864,showcase_07_10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177,large,7,,
0,0.0,0.5765558481216431,13.396441459655762,Bed,,R2_LaMa,0.98408090,0.6814086419753086,sam,nan,,nan,,nan,,final,,0.000000,0.000000,False,sample,,0.68140864,showcase_07_10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177,large,7,,
0,0.0,0.0,0.0,Bed,,,0.92378771,0.4373666666666667,manual,nan,,nan,,nan,,Identity_abstain,,0.022611,0.410526,False,sample,,0.46584691,showcase_08_152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121,medium,8,,
0,0.0,0.09568656235933304,1.4498534202575684,Bed,,,0.92378771,0.4373666666666667,manual,nan,,nan,,nan,,R1_NAFNet,,0.022611,0.410526,False,sample,,0.46584691,showcase_08_152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121,medium,8,,
0,0.0,0.8958740830421448,18.75203514099121,Bed,,,0.92378771,0.4373666666666667,manual,nan,,nan,,nan,,R2_LaMa,,0.022611,0.410526,False,sample,,0.46584691,showcase_08_152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121,medium,8,,
0,0.0,0.09568656235933304,1.4498534202575684,Bed,,R1_NAFNet,0.92378771,0.4373666666666667,manual,nan,,nan,,nan,,final,,0.022611,0.410526,False,sample,,0.46584691,showcase_08_152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121,medium,8,,
0,0.0,0.0,0.0,Bed,,,0.92378771,0.46584691358024694,sam,nan,,nan,,nan,,Identity_abstain,,0.022611,0.410526,False,sample,,0.46584691,showcase_08_152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121,medium,8,,
0,0.0,0.06209859624505043,1.0641196966171265,Bed,,,0.92378771,0.46584691358024694,sam,nan,,nan,,nan,,R1_NAFNet,,0.022611,0.410526,False,sample,,0.46584691,showcase_08_152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121,medium,8,,
