sample_id,source_group,split,category,severity,identity_candidate,mask_ratio,input_pseudo_psnr,input_pseudo_ssim_global,e1_pseudo_psnr,e1_pseudo_ssim_global,e1_mask_outside_max_abs,e1_mask_outside_mean_abs
image_patches_small/12_134_15_SKEYPPEAPE_1_5_32_A_MBed_12,134_15_SKEYPPEAPE_1_5_32_A_MBed,test,image_patches_small/clear_nostructure_noimagine,light,True,0.01849135802469136,33.632934833004896,0.9602054937579824,46.87667109039494,0.9984624042284934,0,0.0
image_patches_small/13_156_86_TZSMTHISHM_1_6_12_A_Bath_13,156_86_TZSMTHISHM_1_6_12_A_Bath,train,image_patches_small/clear_nostructure_noimagine,light,True,0.018403703703703703,34.77798083136029,0.9859585616789014,43.62730998402639,0.9986159758343416,0,0.0
image_patches_small/14_1346_81_TZMNIHIXHM_1_34_25_E_MBed_14,1346_81_TZMNIHIXHM_1_34_25_E_MBed,train,image_patches_small/clear_nostructure_noimagine,light,True,0.01241604938271605,32.80605204036466,0.9701877835927927,41.12663280079836,0.995955498242979,0,0.0
image_patches_small/15_308_15_SKEYPPEAPE_1_12_10_B_MBed_15,308_15_SKEYPPEAPE_1_12_10_B_MBed,test,image_patches_small/clear_nostructure_noimagine,light,True,0.022230864197530863,35.93916360861994,0.9881994023466878,46.43604149407969,0.9990759468038656,0,0.0
image_patches_small/16_156_86_TZSMTHISHM_1_6_12_A_Bath_16,156_86_TZSMTHISHM_1_6_12_A_Bath,train,image_patches_small/clear_nostructure_noimagine,light,True,0.01508395061728395,36.568059935778166,0.992178092328231,45.01681482127197,0.9991039096946217,0,0.0
image_patches_small/17_156_86_TZSMTHISHM_1_6_12_A_Bath_17,156_86_TZSMTHISHM_1_6_12_A_Bath,train,image_patches_small/clear_nostructure_noimagine,light,True,0.01568395061728395,37.34233172256468,0.9915560093361016,44.63520342713514,0.9986990292512227,0,0.0
image_patches_small/1_1007_11_SKBKBPEAPE_1_106_36_G_Bed_1,1007_11_SKBKBPEAPE_1_106_36_G_Bed,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.07639506172839507,27.676853886765755,0.9807912223506735,36.21776172711588,0.9976472575021602,0,0.0
image_patches_small/1_102_10_SKADBPYRPE_3_23_16_A_Bed_1,102_10_SKADBPYRPE_3_23_16_A_Bed,train,image_patches_small/clear_nostructure_noimagine,severe,False,0.034895061728395065,31.44730900261694,0.9968940818488592,33.51385974106848,0.9981473001134529,0,0.0
image_patches_small/1_10_61_TTNTIHLEHM_1_1_12_A_Bed_1,10_61_TTNTIHLEHM_1_1_12_A_Bed,test,image_patches_small/clear_nostructure_noimagine,medium,False,0.05207530864197531,33.224805627866175,0.9952769571160966,40.51503443599043,0.9992873024502807,0,0.0
image_patches_small/1_122_17_SKPDPPERPE_1_5_20_A_MBed_1,122_17_SKPDPPERPE_1_5_20_A_MBed,test,image_patches_small/clear_nostructure_noimagine,light,True,0.03952098765432099,33.995427173259486,0.9947277511539798,41.082990579609984,0.999099147930927,0,0.0
image_patches_small/1_132_10_SKADBPYRPE_3_24_27_A_Bed_1,132_10_SKADBPYRPE_3_24_27_A_Bed,val,image_patches_small/clear_nostructure_noimagine,medium,False,0.02505432098765432,34.0308756813334,0.9977198264000382,37.18369678957278,0.9990245563233086,0,0.0
image_patches_small/1_134_15_SKEYPPEAPE_1_5_32_A_MBed_1,134_15_SKEYPPEAPE_1_5_32_A_MBed,test,image_patches_small/clear_nostructure_noimagine,severe,False,0.10744691358024691,27.541490988087595,0.9831019821540701,35.80957017129768,0.9980164351494553,0,0.0
